,NumberOfFatomsOnSameCarbon,NMR_Peak,SMILES,Compound name,Sovelnt_used_for_NMR
21_alkanes_2,2,-126.06,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctane,DMSO
23_alkanes_2,3,-80.73,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctane,DMSO
24_alkanes_2,3,-80.73,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctane,DMSO
25_alkanes_2,3,-80.73,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctane,DMSO
0_alkanes_3,3,-80.72,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononane,DMSO
2_alkanes_3,3,-80.72,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononane,DMSO
3_alkanes_3,3,-80.72,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononane,DMSO
5_alkanes_3,2,-126.06,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononane,DMSO
6_alkanes_3,2,-126.06,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononane,DMSO
8_alkanes_3,2,-122.63,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononane,DMSO
9_alkanes_3,2,-122.63,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononane,DMSO
11_alkanes_3,2,-121.81,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononane,DMSO
12_alkanes_3,2,-121.81,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononane,DMSO
14_alkanes_3,2,-121.7,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononane,DMSO
15_alkanes_3,2,-121.7,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononane,DMSO
17_alkanes_3,2,-121.81,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononane,DMSO
18_alkanes_3,2,-121.81,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononane,DMSO
20_alkanes_3,2,-122.63,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononane,DMSO
21_alkanes_3,2,-122.63,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononane,DMSO
23_alkanes_3,2,-126.06,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononane,DMSO
24_alkanes_3,2,-126.06,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononane,DMSO
26_alkanes_3,3,-80.72,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononane,DMSO
27_alkanes_3,3,-80.72,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononane,DMSO
28_alkanes_3,3,-80.72,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorononane,DMSO
0_alkanes_4,3,-80.72,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane,DMSO
2_alkanes_4,3,-80.72,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane,DMSO
3_alkanes_4,3,-80.72,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane,DMSO
5_alkanes_4,2,-126.05,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane,DMSO
6_alkanes_4,2,-126.05,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane,DMSO
8_alkanes_4,2,-122.63,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane,DMSO
9_alkanes_4,2,-122.63,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane,DMSO
11_alkanes_4,2,-121.82,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane,DMSO
12_alkanes_4,2,-121.82,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane,DMSO
14_alkanes_4,2,-121.66,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane,DMSO
15_alkanes_4,2,-121.66,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane,DMSO
17_alkanes_4,2,-121.66,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane,DMSO
18_alkanes_4,2,-121.66,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane,DMSO
20_alkanes_4,2,-121.82,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane,DMSO
21_alkanes_4,2,-121.82,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane,DMSO
23_alkanes_4,2,-122.63,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane,DMSO
24_alkanes_4,2,-122.63,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane,DMSO
26_alkanes_4,2,-126.05,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane,DMSO
27_alkanes_4,2,-126.05,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane,DMSO
29_alkanes_4,3,-80.72,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane,DMSO
30_alkanes_4,3,-80.72,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane,DMSO
31_alkanes_4,3,-80.72,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane,DMSO
5_SO3H_1,2,-118.91,O=S(=O)(O)C(F)(F)C(F)(F)F,perfluoroethane sulfonic acid,CDCl3
6_SO3H_1,2,-118.91,O=S(=O)(O)C(F)(F)C(F)(F)F,perfluoroethane sulfonic acid,CDCl3
8_SO3H_1,3,-80.51,O=S(=O)(O)C(F)(F)C(F)(F)F,perfluoroethane sulfonic acid,CDCl3
9_SO3H_1,3,-80.51,O=S(=O)(O)C(F)(F)C(F)(F)F,perfluoroethane sulfonic acid,CDCl3
10_SO3H_1,3,-80.51,O=S(=O)(O)C(F)(F)C(F)(F)F,perfluoroethane sulfonic acid,CDCl3
5_SO3H_2,2,-115.25,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)F,Perfluoropropanesulfonic acid,CDCl3
6_SO3H_2,2,-115.25,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)F,Perfluoropropanesulfonic acid,CDCl3
8_SO3H_2,2,-124.91,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)F,Perfluoropropanesulfonic acid,CDCl3
9_SO3H_2,2,-124.91,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)F,Perfluoropropanesulfonic acid,CDCl3
11_SO3H_2,3,-80.6,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)F,Perfluoropropanesulfonic acid,CDCl3
12_SO3H_2,3,-80.6,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)F,Perfluoropropanesulfonic acid,CDCl3
13_SO3H_2,3,-80.6,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)F,Perfluoropropanesulfonic acid,CDCl3
5_SO3H_3,2,-114.79,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorobutane sulfonic acid,CDCl3
6_SO3H_3,2,-114.79,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorobutane sulfonic acid,CDCl3
8_SO3H_3,2,-121.95,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorobutane sulfonic acid,CDCl3
9_SO3H_3,2,-121.95,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorobutane sulfonic acid,CDCl3
11_SO3H_3,2,-126.22,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorobutane sulfonic acid,CDCl3
12_SO3H_3,2,-126.22,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorobutane sulfonic acid,CDCl3
14_SO3H_3,3,-81.14,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorobutane sulfonic acid,CDCl3
15_SO3H_3,3,-81.14,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorobutane sulfonic acid,CDCl3
16_SO3H_3,3,-81.14,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorobutane sulfonic acid,CDCl3
5_SO3H_4,2,-121.65,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanesulfonic acid,CDCl3
6_SO3H_4,2,-121.65,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanesulfonic acid,CDCl3
8_SO3H_4,2,-121.81,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanesulfonic acid,CDCl3
9_SO3H_4,2,-121.81,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanesulfonic acid,CDCl3
11_SO3H_4,2,-122.63,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanesulfonic acid,CDCl3
12_SO3H_4,2,-122.63,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanesulfonic acid,CDCl3
14_SO3H_4,2,-126.03,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanesulfonic acid,CDCl3
15_SO3H_4,2,-126.03,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanesulfonic acid,CDCl3
17_SO3H_4,3,-80.68,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanesulfonic acid,CDCl3
18_SO3H_4,3,-80.68,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanesulfonic acid,CDCl3
19_SO3H_4,3,-80.68,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanesulfonic acid,CDCl3
5_SO3H_5,2,-114.19,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorohexane sulfonic acid,CDCl3
6_SO3H_5,2,-114.19,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorohexane sulfonic acid,CDCl3
8_SO3H_5,2,-120.14,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorohexane sulfonic acid,CDCl3
9_SO3H_5,2,-120.14,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorohexane sulfonic acid,CDCl3
11_SO3H_5,2,-121.29,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorohexane sulfonic acid,CDCl3
12_SO3H_5,2,-121.29,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorohexane sulfonic acid,CDCl3
14_SO3H_5,2,-122.21,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorohexane sulfonic acid,CDCl3
15_SO3H_5,2,-122.21,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorohexane sulfonic acid,CDCl3
17_SO3H_5,2,-125.47,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorohexane sulfonic acid,CDCl3
18_SO3H_5,2,-125.47,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorohexane sulfonic acid,CDCl3
20_SO3H_5,3,-80.01,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorohexane sulfonic acid,CDCl3
21_SO3H_5,3,-80.01,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorohexane sulfonic acid,CDCl3
22_SO3H_5,3,-80.01,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorohexane sulfonic acid,CDCl3
5_SO3H_6,2,-114.18,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctane sulfonic acid,CDCl3
6_SO3H_6,2,-114.18,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctane sulfonic acid,CDCl3
8_SO3H_6,2,-120.08,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctane sulfonic acid,CDCl3
9_SO3H_6,2,-120.08,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctane sulfonic acid,CDCl3
11_SO3H_6,2,-121.06,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctane sulfonic acid,CDCl3
12_SO3H_6,2,-121.06,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctane sulfonic acid,CDCl3
14_SO3H_6,2,-121.28,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctane sulfonic acid,CDCl3
15_SO3H_6,2,-121.28,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctane sulfonic acid,CDCl3
17_SO3H_6,2,-121.28,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctane sulfonic acid,CDCl3
18_SO3H_6,2,-121.28,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctane sulfonic acid,CDCl3
20_SO3H_6,2,-122.07,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctane sulfonic acid,CDCl3
21_SO3H_6,2,-122.07,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctane sulfonic acid,CDCl3
23_SO3H_6,2,-125.4,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctane sulfonic acid,CDCl3
24_SO3H_6,2,-125.4,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctane sulfonic acid,CDCl3
26_SO3H_6,3,-79.95,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctane sulfonic acid,CDCl3
27_SO3H_6,3,-79.95,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctane sulfonic acid,CDCl3
28_SO3H_6,3,-79.95,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorooctane sulfonic acid,CDCl3
5_SO3H_7,2,-114.49,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane sulfonic acid,CDCl3
6_SO3H_7,2,-114.49,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane sulfonic acid,CDCl3
8_SO3H_7,2,-120.59,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane sulfonic acid,CDCl3
9_SO3H_7,2,-120.59,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane sulfonic acid,CDCl3
11_SO3H_7,2,-121.64,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane sulfonic acid,CDCl3
12_SO3H_7,2,-121.64,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane sulfonic acid,CDCl3
14_SO3H_7,2,-121.64,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane sulfonic acid,CDCl3
15_SO3H_7,2,-121.64,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane sulfonic acid,CDCl3
17_SO3H_7,2,-121.64,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane sulfonic acid,CDCl3
18_SO3H_7,2,-121.64,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane sulfonic acid,CDCl3
20_SO3H_7,2,-121.64,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane sulfonic acid,CDCl3
21_SO3H_7,2,-121.64,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane sulfonic acid,CDCl3
23_SO3H_7,2,-121.64,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane sulfonic acid,CDCl3
24_SO3H_7,2,-121.64,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane sulfonic acid,CDCl3
26_SO3H_7,2,-122.59,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane sulfonic acid,CDCl3
27_SO3H_7,2,-122.59,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane sulfonic acid,CDCl3
29_SO3H_7,2,-125.99,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane sulfonic acid,CDCl3
30_SO3H_7,2,-125.99,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane sulfonic acid,CDCl3
32_SO3H_7,3,-80.63,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane sulfonic acid,CDCl3
33_SO3H_7,3,-80.63,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane sulfonic acid,CDCl3
34_SO3H_7,3,-80.63,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorodecane sulfonic acid,CDCl3
0_SO3H_8,2,-81,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS,"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctane-1-thiol",CDCl3
2_SO3H_8,2,-81,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS,"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctane-1-thiol",CDCl3
3_SO3H_8,2,-81,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS,"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctane-1-thiol",CDCl3
5_SO3H_8,2,-126.29,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS,"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctane-1-thiol",CDCl3
6_SO3H_8,2,-126.29,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS,"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctane-1-thiol",CDCl3
8_SO3H_8,2,-123.67,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS,"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctane-1-thiol",CDCl3
9_SO3H_8,2,-123.67,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS,"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctane-1-thiol",CDCl3
11_SO3H_8,2,-123,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS,"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctane-1-thiol",CDCl3
12_SO3H_8,2,-123,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS,"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctane-1-thiol",CDCl3
14_SO3H_8,2,-122.04,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS,"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctane-1-thiol",CDCl3
15_SO3H_8,3,-122.04,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS,"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctane-1-thiol",CDCl3
17_SO3H_8,3,-114.5,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS,"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctane-1-thiol",CDCl3
18_SO3H_8,3,-114.5,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS,"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctane-1-thiol",CDCl3
0_SO3H_9,2,-81.05,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CS,"2,2,3,3,4,4,5,5,6,6,7,7,7-tridecafluoroheptane-1-thiol",CDCl3
